Measure Mode: wall_time
Thread ID: 70212817918080
Fiber ID: 70212812661460
Total: 0.091663
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.25      0.000     0.000     0.000     0.000      202   <Class::ActiveRecord::Base>#_initialize_callbacks 
  0.25      0.000     0.000     0.000     0.000      439   Kernel#nil? 
  0.24      0.000     0.000     0.000     0.000      203   ActiveRecord::ModelSchema::ClassMethods#decorate_columns 
  0.23      0.000     0.000     0.000     0.000      204   Module#const_defined? 
  0.22      0.000     0.000     0.000     0.000      202   ActiveRecord::ModelSchema::ClassMethods#initialize_attributes 
  0.22      0.002     0.000     0.000     0.001       12   <Class::ActiveRecord::Associations::Builder::CollectionAssociation>#define_callback 
  0.22      0.000     0.000     0.000     0.000       93   Array#include? 
  0.21      0.000     0.000     0.000     0.000       50   ActiveSupport::Callbacks::ClassMethods#get_callbacks 
  0.21      0.000     0.000     0.000     0.000       36   Kernel#define_singleton_method 
  0.21      0.000     0.000     0.000     0.000      202   ActiveRecord::Persistence::ClassMethods#discriminate_class_for_record 
  0.20      0.001     0.000     0.000     0.000       67   Module#remove_possible_method 
  0.20      0.000     0.000     0.000     0.000      202   NilClass#blank? 
  0.19      0.005     0.000     0.000     0.005       10   ActiveRecord::AutosaveAssociation::ClassMethods#add_autosave_association_callbacks 
  0.19      0.004     0.000     0.000     0.004       25   ActiveSupport::Callbacks::ClassMethods#set_callback 
  0.19      0.001     0.000     0.000     0.001       54   ActiveRecord::AttributeMethods::ClassMethods#instance_method_already_implemented? 
  0.19      0.000     0.000     0.000     0.000      404   ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher::AttributeMethodMatch#target 
  0.19      0.001     0.000     0.000     0.001       54   ActiveRecord::DynamicMatchers#respond_to? 
  0.17      0.000     0.000     0.000     0.000      232   Module#=== 
  0.17      0.001     0.000     0.000     0.000       65   ActiveSupport::Inflector#inflections 
  0.17      0.000     0.000     0.000     0.000       33   String#sub 
  0.17      0.000     0.000     0.000     0.000      222   Hash#key? 
  0.17      0.000     0.000     0.000     0.000       56   Array#extract_options! 
  0.16      0.000     0.000     0.000     0.000      206   Kernel#hash 
  0.16      0.000     0.000     0.000     0.000       71   ActiveSupport::PerThreadRegistry#instance 
  0.16      0.000     0.000     0.000     0.000       56   <Class::File>#directory? 
  0.15      0.000     0.000     0.000     0.000       25   ActiveSupport::Callbacks::Callback#initialize 
  0.15      0.000     0.000     0.000     0.000       62   ActiveRecord::AttributeMethods::ClassMethods#method_defined_within? 
  0.15      0.000     0.000     0.000     0.000       78   Arel::Visitors::Visitor#dispatch 
