Measure Mode: wall_time
Thread ID: 70212763973840
Fiber ID: 70212781748700
Total: 0.473946
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.35      0.003     0.002     0.000     0.002      717   ActiveRecord::Relation::Merger#initialize 
  0.34      0.003     0.002     0.000     0.001      791   Arel::Visitors::Visitor#dispatch 
  0.34      0.002     0.002     0.000     0.000      834   ActiveRecord::Inheritance::ClassMethods#finder_needs_type_condition? 
  0.34      0.006     0.002     0.000     0.005        4   Kernel#loop 
  0.33      0.004     0.002     0.000     0.002     1277  *Kernel#dup 
  0.33      0.002     0.002     0.000     0.000     1637   <Class::User(id: integer, name: string, email: string, age: string, created_at: datetime, updated_at: datetime)>#_reflections 
  0.33      0.002     0.002     0.000     0.000       49   Module#module_eval 
  0.32      0.002     0.002     0.000     0.001      918   ActiveRecord::Reflection::MacroReflection#== 
  0.31      0.002     0.001     0.000     0.001      306   Arel::Table#initialize 
  0.31      0.002     0.001     0.000     0.001     1079   Enumerable#any? 
  0.30      0.002     0.001     0.000     0.000      308   ActiveRecord::Inheritance::ClassMethods#base_class 
  0.30      0.003     0.001     0.000     0.001      717   ActiveRecord::Relation::Merger#merge_joins 
  0.30      0.009     0.001     0.000     0.007      608   ActiveRecord::Associations::Association#stale_target? 
  0.30      0.001     0.001     0.000     0.000     1780   Symbol#to_s 
  0.30      0.001     0.001     0.000     0.000     1030   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key 
  0.29      0.001     0.001     0.000     0.000     1524   ActiveRecord::AttributeMethods::Read::ClassMethods#cached_attributes 
  0.29      0.001     0.001     0.000     0.000     1251   ActiveRecord::Core::ClassMethods#arel_table 
  0.29      0.057     0.001     0.000     0.056      204   ActiveRecord::Associations::AssociationScope#scope 
  0.28      0.005     0.001     0.000     0.003      948   <Class::ActiveRecord::RuntimeRegistry>#connection_handler 
  0.28      0.034     0.001     0.000     0.032      517   ActiveRecord::SpawnMethods#merge 
  0.28      0.001     0.001     0.000     0.000      921   ActiveRecord::QueryMethods#bind_values= 
  0.28      0.002     0.001     0.000     0.001      741   Array#include? 
  0.28      0.001     0.001     0.000     0.000     1012   ActiveRecord::Associations#association_instance_set 
  0.28      0.034     0.001     0.000     0.033      939   ActiveRecord::ConnectionHandling#connection 
  0.28      0.012     0.001     0.000     0.011      808   ActiveRecord::Associations::Association#target= 
  0.27      0.009     0.001     0.000     0.008     1012   ActiveRecord::Reflection::AssociationReflection#has_inverse? 
  0.27      0.004     0.001     0.000     0.003      939   <Class::ActiveRecord::RuntimeRegistry>#connection_id 
  0.27      0.003     0.001     0.000     0.002      509   ActiveRecord::Base#_find_callbacks 
  0.27      0.003     0.001     0.000     0.002      310   ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.27      0.016     0.001     0.000     0.015      310   ActiveRecord::Scoping::Named::ClassMethods#default_scoped 
  0.27      0.001     0.001     0.000     0.000     1137   ActiveRecord::QueryMethods#bind_values 
  0.27      0.001     0.001     0.000     0.000     1347   <Class::Hash>#[] 
  0.27      0.006     0.001     0.000     0.005      939   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.27      0.006     0.001     0.000     0.005     1010   ActiveRecord::Associations::Association#inverse_reflection_for 
  0.26      0.003     0.001     0.000     0.002      509   ActiveRecord::Base#_initialize_callbacks 
  0.26      0.001     0.001     0.000     0.000     2277   <Class::Thread>#current 
  0.26      0.002     0.001     0.000     0.001     1277  *Kernel#initialize_dup 
  0.26      0.005     0.001     0.000     0.004      939   ActiveRecord::ConnectionHandling#connection_id 
  0.26      0.002     0.001     0.000     0.001     1018  *ActiveRecord::ModelSchema::ClassMethods#inheritance_column 
  0.25      0.016     0.001     0.000     0.014      910   ActiveRecord::Reflection::AssociationReflection#check_validity! 
  0.25      0.001     0.001     0.000     0.000     1329   ActiveRecord::ModelSchema::ClassMethods#column_types 
  0.25      0.002     0.001     0.000     0.001      306   ActiveRecord::Associations::AssociationScope#table_alias_for 
  0.24      0.006     0.001     0.000     0.005      509   ActiveRecord::Inheritance::ClassMethods#discriminate_class_for_record 
  0.24      0.002     0.001     0.000     0.001      828   ActiveRecord::Relation#values 
  0.24      0.001     0.001     0.000     0.000      932   ActiveRecord::QueryMethods#where_values 
  0.23      0.470     0.001     0.000     0.469     3316  *Array#each 
  0.23      0.003     0.001     0.000     0.002      207   ActiveRecord::QueryMethods#where! 
  0.23      0.004     0.001     0.000     0.003      509   ActiveRecord::Inheritance::ClassMethods#using_single_table_inheritance? 
  0.23      0.001     0.001     0.000     0.000      717   ActiveRecord::Relation::Merger#partition_overwrites 
  0.22      0.003     0.001     0.000     0.002      410   ActiveRecord::Associations::Preloader::Association#association_key_type 
  0.22      0.003     0.001     0.000     0.002      606   ActiveRecord::Associations::BelongsToAssociation#reset 
  0.22      0.001     0.001     0.000     0.000      717   ActiveRecord::QueryMethods#from_value= 
  0.21      0.001     0.001     0.000     0.000     1223   <Class::UserSocialAccount(id: integer, user_id: integer, social_account_id: integer, created_at: datetime, updated_at: datetime)>#_reflections 
  0.21      0.001     0.001     0.000     0.000     1012   ActiveRecord::Associations::Association#reset_scope 
  0.21      0.001     0.001     0.000     0.000      948   <Class::ActiveRecord::Base>#default_connection_handler 
  0.21      0.003     0.001     0.000     0.002      204   ActiveRecord::QueryMethods#extending! 
  0.21      0.001     0.001     0.000     0.000     1220   ActiveRecord::Associations::Association#loaded? 
  0.21      0.192     0.001     0.000     0.191      204   ActiveRecord::Associations::CollectionProxy#initialize 
  0.21      0.001     0.001     0.000     0.000      717   ActiveRecord::QueryMethods#lock_value= 
  0.20      0.001     0.001     0.000     0.000      321   Array#flatten! 
  0.20      0.001     0.001     0.000     0.000      799   Kernel#respond_to? 
  0.20      0.001     0.001     0.000     0.000      717   ActiveRecord::QueryMethods#reverse_order_value= 
  0.20      0.002     0.001     0.000     0.001      410   ActiveRecord::Associations::Preloader::Association#owner_key_type 
  0.20      0.008     0.001     0.000     0.007      518   Kernel#clone 
  0.20      0.001     0.001     0.000     0.000      815   ActiveRecord::Reflection::ThroughReflection#source_reflection_name 
  0.20      0.002     0.001     0.000     0.001      612   ActiveRecord::ConnectionAdapters::AbstractAdapter#substitute_at 
  0.20      0.001     0.001     0.000     0.000     2230   String#== 
  0.19      0.001     0.001     0.000     0.000     1317   Fixnum#to_default_s 
  0.19      0.001     0.001     0.000     0.000     1534   Hash#include? 
  0.19      0.043     0.001     0.000     0.042      204   ActiveRecord::Associations::Association#target_scope 
  0.18      0.007     0.001     0.000     0.006      913   ActiveRecord::AttributeMethods::ClassMethods#define_attribute_methods 
  0.18      0.001     0.001     0.000     0.000      980   Module#name 
  0.18      0.047     0.001     0.000     0.046      204   ActiveRecord::Associations::AssociationScope#add_constraints 
  0.18      0.006     0.001     0.000     0.006      307   ActiveRecord::Scoping::ClassMethods#current_scope 
  0.18      0.009     0.001     0.000     0.008      207   ActiveRecord::QueryMethods#where 
  0.18      0.009     0.001     0.000     0.008      518   ActiveRecord::SpawnMethods#spawn 
  0.18      0.007     0.001     0.000     0.006      410   ActiveRecord::Associations::Preloader::Association#key_conversion_required? 
