Measure Mode: wall_time
Thread ID: 70212782282580
Fiber ID: 70212755826020
Total: 0.678676
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.36      0.048     0.002     0.000     0.045      951   ActiveRecord::ConnectionHandling#retrieve_connection 
  0.35      0.002     0.002     0.000     0.000     1137   ActiveRecord::QueryMethods#bind_values 
  0.35      0.006     0.002     0.000     0.004     1470  *Kernel#dup 
  0.35      0.021     0.002     0.000     0.018     1012   ActiveRecord::Reflection::AssociationReflection#check_validity_of_inverse! 
  0.34      0.005     0.002     0.000     0.002      717   ActiveRecord::Relation::Merger#initialize 
  0.34      0.004     0.002     0.000     0.001      918   ActiveRecord::Reflection::MacroReflection#== 
  0.34      0.002     0.002     0.000     0.000      927   ActiveRecord::QueryMethods#where_values= 
  0.34      0.057     0.002     0.000     0.055      509   ActiveRecord::Persistence::ClassMethods#instantiate 
  0.33      0.003     0.002     0.000     0.001     1095   Enumerable#any? 
  0.33      0.003     0.002     0.000     0.001      313   Arel::Table#initialize 
  0.33      0.014     0.002     0.000     0.012      608   ActiveRecord::Associations::Association#stale_target? 
  0.33      0.010     0.002     0.000     0.008      307   ActiveRecord::Scoping::ClassMethods#current_scope 
  0.33      0.003     0.002     0.000     0.001     1552   Set#include? 
  0.33      0.003     0.002     0.000     0.001      834   ActiveRecord::Inheritance::ClassMethods#finder_needs_type_condition? 
  0.33      0.014     0.002     0.000     0.012      951   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
  0.32      0.005     0.002     0.000     0.003      717   ActiveRecord::Relation::Merger#merge_joins 
  0.32      0.002     0.002     0.000     0.000     1012   ActiveRecord::Reflection::AssociationReflection#association_class 
  0.31      0.039     0.002     0.000     0.037      307   ActiveRecord::Scoping::Named::ClassMethods#all 
  0.30      0.002     0.002     0.000     0.000     1646   <Class::User(id: integer, name: string, email: string, age: string, created_at: datetime, updated_at: datetime)>#_reflections 
  0.30      0.002     0.002     0.000     0.000     1351   <Class::Hash>#[] 
  0.30      0.002     0.002     0.000     0.000     2036   Symbol#to_s 
  0.29      0.112     0.002     0.000     0.110      204   ActiveRecord::Associations::AssociationScope#scope 
  0.28      0.049     0.002     0.000     0.048      951   ActiveRecord::ConnectionHandling#connection 
  0.28      0.004     0.002     0.000     0.002     1255  *ActiveRecord::Core::ClassMethods#arel_table 
  0.28      0.008     0.002     0.000     0.007      147   ActiveModel::AttributeMethods::ClassMethods#define_proxy_call 
  0.28      0.014     0.002     0.000     0.012       16   Kernel#loop 
  0.27      0.048     0.002     0.000     0.046      517   ActiveRecord::SpawnMethods#merge 
  0.27      0.004     0.002     0.000     0.002     1478  *Kernel#initialize_dup 
  0.27      0.005     0.002     0.000     0.003      310   ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.26      0.009     0.002     0.000     0.007      951   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.26      0.002     0.002     0.000     0.000      921   ActiveRecord::QueryMethods#bind_values= 
  0.26      0.005     0.002     0.000     0.003     1341   Kernel#public_send 
  0.26      0.002     0.002     0.000     0.000     2377   <Class::Thread>#current 
  0.26      0.002     0.002     0.000     0.000      717   ActiveRecord::QueryMethods#reverse_order_value= 
  0.25      0.002     0.002     0.000     0.000      331   Array#flatten! 
  0.25      0.002     0.002     0.000     0.000     1524   ActiveRecord::AttributeMethods::Read::ClassMethods#cached_attributes 
  0.25      0.003     0.002     0.000     0.001      856   Array#include? 
  0.25      0.003     0.002     0.000     0.001      306   ActiveRecord::QueryMethods#joins! 
  0.25      0.002     0.002     0.000     0.000      932   ActiveRecord::QueryMethods#where_values 
  0.25      0.002     0.002     0.000     0.000     1070   Module#name 
  0.25      0.007     0.002     0.000     0.005      951   ActiveRecord::ConnectionHandling#connection_id 
  0.25      0.005     0.002     0.000     0.004      951   <Class::ActiveRecord::RuntimeRegistry>#connection_id 
  0.24      0.016     0.002     0.000     0.015      808   ActiveRecord::Associations::Association#target= 
  0.23      0.002     0.002     0.000     0.000      717   ActiveRecord::Relation::Merger#partition_overwrites 
  0.23      0.002     0.002     0.000     0.000      672   String#=~ 
  0.22      0.005     0.002     0.000     0.003      207   ActiveRecord::QueryMethods#where! 
  0.22      0.003     0.002     0.000     0.001      828   ActiveRecord::Relation#values 
  0.22      0.006     0.002     0.000     0.004     1068   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key 
  0.22      0.002     0.001     0.000     0.001      791   Arel::Visitors::Visitor#dispatch 
  0.22      0.318     0.001     0.000     0.316      204   ActiveRecord::Associations::CollectionProxy#initialize 
  0.22      0.002     0.001     0.000     0.000      968   Kernel#respond_to? 
  0.22      0.001     0.001     0.000     0.000     1220   ActiveRecord::Associations::Association#loaded? 
  0.21      0.002     0.001     0.000     0.001      323   ActiveRecord::Inheritance::ClassMethods#base_class 
  0.21      0.007     0.001     0.000     0.006     1010   ActiveRecord::Associations::Association#inverse_reflection_for 
  0.21      0.011     0.001     0.000     0.010      518   Kernel#clone 
  0.21      0.007     0.001     0.000     0.005      102   ActiveRecord::QueryMethods#joins 
  0.21      0.003     0.001     0.000     0.001       95   Module#class_eval 
  0.21      0.001     0.001     0.000     0.000     1012   ActiveRecord::Associations#association_instance_set 
  0.21      0.001     0.001     0.000     0.000      964   <Class::ActiveRecord::Base>#default_connection_handler 
  0.21      0.002     0.001     0.000     0.000      306   ActiveRecord::Associations::AliasTracker#aliased_name_for 
  0.20      0.001     0.001     0.000     0.000      717   ActiveRecord::QueryMethods#lock_value= 
  0.20      0.001     0.001     0.000     0.000     1229   <Class::UserSocialAccount(id: integer, user_id: integer, social_account_id: integer, created_at: datetime, updated_at: datetime)>#_reflections 
  0.20      0.003     0.001     0.000     0.002      394   Kernel#Array 
  0.20      0.004     0.001     0.000     0.002      204   ActiveRecord::QueryMethods#extending! 
  0.20      0.014     0.001     0.000     0.012       25   Array#uniq 
  0.20      0.003     0.001     0.000     0.002      612   ActiveRecord::ConnectionAdapters::AbstractAdapter#substitute_at 
  0.20      0.016     0.001     0.000     0.014     1012   ActiveRecord::Reflection::AssociationReflection#has_inverse? 
  0.20      0.002     0.001     0.000     0.001      818   ActiveRecord::Reflection::ThroughReflection#source_reflection_name 
